dyad,ccode1,ccode2,statea,stateb,statei,statej,daysign,monthsign,yearsign,dayforce,monthforce,yearforce,censor,month_count,maxhurdles,maxpolconv,maxchecks,minpolity,minratio,min_laworder,ln_mingdp,min_govexp,comlang,comcol,atopally,s2un,log_gapgdppc,maxcomlaw,fdi_host,fdi_home,coldwar,maxexecleft,BIT_Status,_st,_d,_t,_t0
225092,225,92,SWZ,SAL,Switzerland,El Salvador,8,12,1994,16,9,1996,1,21,2,.88,4,7,.92000002,3,17.070921,8.3987532,0,0,0,,10.26739,0,.0269615,3.9656661,0,,In Force,1,1,21,0
225093,225,93,SWZ,NIC,Switzerland,Nicaragua,30,11,1998,2,5,2000,1,18,2,.88,4,8,.28999999,4,16.02203,9.6858845,0,0,0,,10.41076,0,5.0249801,6.8217978,0,,In Force,1,1,18,0
225094,225,94,SWZ,COS,Switzerland,Costa Rica,1,8,1965,19,11,1966,1,11,2,.88,,10,.81999999,,15.93641,8.2547398,0,0,0,,9.7089062,0,,,1,,In Force,1,1,11,0
225095,225,95,SWZ,PAN,Switzerland,Panama,19,10,1983,22,8,1985,1,22,2,.88,3,-5,0,,16.235821,10.78267,0,0,0,,10.0896,0,1.56344,.46905649,1,,In Force,1,1,22,0
225100,225,100,SWZ,COL,Switzerland,Colombia,17,5,2006,,,,0,17,2,.86000001,4,7,.17,1,19.492399,11.20786,0,0,,.69999999,10.36554,0,4.0998678,19.32172,0,,Not in Force,1,0,17,0
225101,225,101,SWZ,VEN,Switzerland,Venezuela,18,11,1993,30,11,1994,1,12,2,.88,5,8,0,4,19.01306,8.5447245,0,0,0,,10.10887,0,.71858841,3.566117,0,,In Force,1,1,12,0
225110,225,110,SWZ,GUY,Switzerland,Guyana,13,12,2005,,,,0,25,2,.86000001,3,6,.75,2,14.88647,11.70238,0,0,,.64705878,10.42838,1,9.3104277,13.60939,0,1,Not in Force,1,0,25,0
225130,225,130,SWZ,ECU,Switzerland,Ecuador,2,5,1968,9,11,1969,1,18,2,.88,,5,.93000001,,16.666849,8.1645374,0,0,0,,9.9208593,0,,,1,,In Force,1,1,18,0
225135,225,135,SWZ,PER,Switzerland,Peru,22,11,1991,23,11,1993,1,24,2,.88,4,8,.86000001,1,18.30213,7.7457471,0,0,0,,10.31269,0,-.0202637,2.6975379,0,,In Force,1,1,24,0
225140,225,140,SWZ,BRA,Switzerland,Brazil,11,11,1994,,,,0,157,2,.88,4,8,.92000002,3,19.291731,11.83761,0,0,0,,10.16977,0,.36043629,3.9656661,0,,Not in Force,1,0,157,0
225145,225,145,SWZ,BOL,Switzerland,Bolivia,6,11,1987,13,5,1991,1,42,2,.88,4,9,.94,1,16.621849,10.5452,0,0,0,,10.2874,0,.92682242,1.006025,1,,In Force,1,1,42,0
225150,225,150,SWZ,PAR,Switzerland,Paraguay,31,1,1992,28,9,1992,1,8,2,.88,3,7,.5,4,16.60387,6.5052319,0,0,0,,10.31078,0,2.0551291,2.3976331,0,,In Force,1,1,8,0
225155,225,155,SWZ,CHL,Switzerland,Chile,24,9,1999,22,8,2002,1,32,2,.88,4,8,.47999999,5,18.73407,11.16465,0,0,0,,10.17383,0,12.00209,12.28432,0,1,In Force,1,1,32,0
225160,225,160,SWZ,ARG,Switzerland,Argentina,12,4,1991,6,11,1992,1,19,2,.88,5,7,0,3,19.28046,3.3217609,0,0,0,,10.19418,0,1.285652,2.6975379,0,,In Force,1,1,19,0
225165,225,165,SWZ,URU,Switzerland,Uruguay,7,10,1988,22,4,1991,1,30,2,.88,5,9,.5,3,16.746149,10.70609,0,0,0,,10.19329,0,.55740929,4.446527,1,,In Force,1,1,30,0
225290,225,290,SWZ,POL,Switzerland,Poland,8,11,1989,18,4,1990,1,5,2,.88,3,5,.25,4,19.25448,,0,0,1,,10.13597,0,.0132382,4.2120018,1,1,In Force,1,1,5,0
225310,225,310,SWZ,HUN,Switzerland,Hungary,5,10,1988,16,5,1989,1,7,2,.88,3,-2,.56999999,5,18.65531,10.70609,0,0,1,,9.9390345,0,,4.446527,1,1,In Force,1,1,7,0
225315,225,315,SWZ,CZE,Switzerland,Czechoslovakia,5,10,1990,7,8,1991,1,10,2,.88,3,8,0,5,18.94726,,0,0,1,,9.8271275,0,.3086113,2.9942911,0,1,In Force,1,1,10,0
225339,225,339,SWZ,ALB,Switzerland,Albania,22,9,1992,30,4,1993,1,7,2,.88,3,5,0,2,15.81545,12.14514,0,0,1,,10.35033,0,1.272487,2.3976331,0,1,In Force,1,1,7,0
225343,225,343,SWZ,MAC,Switzerland,Macedonia,26,9,1996,6,5,1997,1,8,2,.88,4,6,.5,,16.25564,11.97243,0,0,0,,10.23231,0,.25401139,5.2568951,0,1,In Force,1,1,8,0
225344,225,344,SWZ,CRO,Switzerland,Croatia,30,10,1996,17,6,1997,1,8,2,.88,4,-5,.56,,17.457769,11.97243,0,0,0,,10.12886,0,2.1107099,5.2568951,0,,In Force,1,1,8,0
225345,225,345,SWZ,YUG,Switzerland,Serbia,7,12,2005,,,,0,25,2,.86000001,3,6,.82999998,3.5,17.81761,11.70238,0,0,,1,10.31802,0,6.6810861,13.60939,0,,Not in Force,1,0,25,0
225346,225,346,SWZ,BOS,Switzerland,Bosnia,5,9,2003,21,5,2005,1,20,2,.88,3,,.41999999,,16.726801,11.93692,0,0,,1,10.36726,0,5.3673019,4.7060642,0,,In Force,1,1,20,0
225349,225,349,SWZ,SLV,Switzerland,Slovenia,9,11,1995,20,3,1997,1,16,2,.88,6,10,.40000001,,17.24621,11.83371,0,0,1,,9.805768,0,.72226042,3.8350911,0,1,In Force,1,1,16,0
225355,225,355,SWZ,BUL,Switzerland,Bulgaria,28,10,1991,26,10,1993,1,24,2,.88,3,8,.60000002,5,17.83853,11.73764,0,0,1,,10.23173,0,.73270643,2.6975379,0,,In Force,1,1,24,0
225359,225,359,SWZ,MLD,Switzerland,Moldova,30,11,1995,29,11,1996,1,12,2,.88,3,7,.17,,15.76886,11.83371,0,0,1,,10.37269,0,3.7896471,3.8350911,0,1,In Force,1,1,12,0
225360,225,360,SWZ,ROM,Switzerland,Romania,25,10,1993,30,7,1994,1,9,2,.88,7,5,.61000001,5,18.651609,11.95584,0,0,1,,10.23158,0,.35410169,3.566117,0,,In Force,1,1,9,0
225365,225,365,SWZ,RUS,Switzerland,Russia,1,12,1990,26,8,1991,1,8,2,.88,3,0,0,4,19.2918,11.18156,0,0,1,,9.9933758,0,.00050179998,2.9942911,0,1,In Force,1,1,8,0
225366,225,366,SWZ,EST,Switzerland,Estonia,21,12,1992,18,8,1993,1,8,2,.88,3,6,0,,16.223209,12.14514,0,0,1,,10.18134,0,3.902539,2.3976331,0,,In Force,1,1,8,0
225367,225,367,SWZ,LAT,Switzerland,Latvia,22,12,1992,16,4,1993,1,4,2,.88,3,8,.89999998,,19.277451,12.14514,0,0,1,,,0,.57565778,2.3976331,0,,In Force,1,1,4,0
225368,225,368,SWZ,LIT,Switzerland,Lithuania,23,12,1992,13,5,1993,1,5,2,.88,3,10,.89999998,,19.277451,12.14514,0,0,1,,,0,.12824459,2.3976331,0,,In Force,1,1,5,0
225369,225,369,SWZ,UKR,Switzerland,Ukraine,20,4,1995,21,1,1997,1,21,2,.88,6,7,.38,,19.139231,11.83371,0,0,1,,10.29425,0,.5492872,3.8350911,0,,In Force,1,1,21,0
225370,225,370,SWZ,BLR,Switzerland,Belarus,28,5,1993,13,7,1994,1,14,2,.88,3,7,0,,19.27524,11.95584,0,0,1,,,0,.1047525,3.566117,0,1,In Force,1,1,14,0
225371,225,371,SWZ,ARM,Switzerland,Armenia,19,11,1998,4,11,2002,1,48,2,.88,4,5,.74000001,,15.73884,11.05209,0,0,1,,10.40108,0,11.66914,6.8217978,0,,In Force,1,1,48,0
225402,225,402,SWZ,CAP,Switzerland,Cape Verde,28,10,1991,6,5,1992,1,7,2,.88,3,,0,,13.22931,11.73764,0,0,0,,10.39009,0,.54304433,2.6975379,0,1,In Force,1,1,7,0
225420,225,420,SWZ,GAM,Switzerland,Gambia,22,4,1993,30,3,1994,1,4,2,.88,3,8,.87,4,13.72492,11.95584,0,0,0,,10.38722,1,1.495199,3.566117,0,1,In Force,1,1,4,0
225432,225,432,SWZ,MLI,Switzerland,Mali,8,3,1978,8,12,1978,1,9,2,.88,3,-7,0,,15.1101,10.1209,1,0,0,,10.20608,0,-.092210203,,1,,In Force,1,1,9,0
225433,225,433,SWZ,SEN,Switzerland,Senegal,16,8,1962,13,8,1964,1,24,2,.88,,-4,0,,15.38638,5.30231,1,0,0,,9.8535833,0,,,1,,In Force,1,1,24,0
225434,225,434,SWZ,BEN,Switzerland,Benin,20,4,1966,6,10,1973,1,90,2,.88,,-7,.76999998,,14.46425,8.1983023,1,0,0,,9.980917,0,,,1,,In Force,1,1,90,0
225435,225,435,SWZ,MAA,Switzerland,Mauritania,9,9,1976,30,5,1978,1,20,2,.88,3,-7,.95999998,,14.57957,10.35902,0,0,0,,10.12142,0,.28950211,,1,,In Force,1,1,20,0
225436,225,436,SWZ,NIR,Switzerland,Niger,28,3,1962,17,2,1962,1,8,2,.88,,-7,0,,15.02403,8.5645428,1,0,0,,9.8836603,0,,,1,,In Force,1,1,8,0
225437,225,437,SWZ,CDI,Switzerland,Cote d`Ivoire,26,6,1962,18,11,1962,1,5,2,.88,,-9,0,,15.19846,8.6661558,1,0,0,,9.8725882,0,,,1,,In Force,1,1,5,0
225438,225,438,SWZ,GUI,Switzerland,Guinea,26,4,1962,29,7,1963,1,15,2,.88,,-9,0,,15.00274,,1,0,0,,9.8721857,0,,,1,,In Force,1,1,15,0
225439,225,439,SWZ,BFO,Switzerland,Burkina Faso,6,5,1969,15,9,1969,1,4,2,.88,,-6,.88,,14.90313,5.9121509,1,0,0,,10.07727,0,,,1,,In Force,1,1,4,0
225450,225,450,SWZ,LBR,Switzerland,Liberia,23,7,1963,22,9,1964,1,14,2,.88,,-6,0,,18.612129,9.0260983,0,0,0,,,1,,,1,,In Force,1,1,14,0
225452,225,452,SWZ,GHA,Switzerland,Ghana,8,10,1991,16,6,1993,1,20,2,.88,3,-4,0,3,16.446159,9.483139,0,0,0,,10.41221,1,.2855624,2.6975379,0,,In Force,1,1,20,0
225461,225,461,SWZ,TOG,Switzerland,Togo,17,1,1964,9,8,1966,1,31,2,.88,,-6,0,,14.23635,8.9499283,1,0,0,,9.9444551,0,,,1,,In Force,1,1,31,0
225471,225,471,SWZ,CAO,Switzerland,Cameroon,28,1,1963,6,4,1964,1,15,2,.88,,-6,0,,15.83057,,1,0,0,,9.8856277,0,,,1,,In Force,1,1,15,0
225475,225,475,SWZ,NIG,Switzerland,Nigeria,30,11,2001,1,4,2003,1,17,2,.88,4,4,.5,3,18.93811,,0,0,0,,10.47035,1,2.894151,7.1149478,0,,In Force,1,1,17,0
225481,225,481,SWZ,GAB,Switzerland,Gabon,28,1,1972,18,10,1972,1,9,2,.88,,-9,.5,,15.49691,8.5653038,1,0,0,,9.7696772,0,3.553829,,1,,In Force,1,1,9,0
225482,225,482,SWZ,CEN,Switzerland,Central African Republic,28,2,1973,4,7,1973,1,5,2,.88,,-7,.89999998,,14.47693,8.8446074,1,0,0,,10.21036,0,-.059404399,,1,,In Force,1,1,5,0
225483,225,483,SWZ,CHA,Switzerland,Chad,21,2,1967,31,10,1967,1,8,2,.88,,-9,0,,14.87238,8.0920334,1,0,0,,10.00188,0,,,1,,In Force,1,1,8,0
225484,225,484,SWZ,CON,Switzerland,Congo,18,10,1962,11,7,1964,1,21,2,.88,,4,0,,13.75765,8.6661558,1,0,0,,9.8796177,0,,,1,,In Force,1,1,21,0
225490,225,490,SWZ,DRC,Switzerland,Congo DR,10,3,1972,10,5,1973,1,14,2,.88,,-9,.88999999,,16.999399,8.5653038,1,0,0,,10.18236,0,.4529767,,1,,In Force,1,1,14,0
225500,225,500,SWZ,UGA,Switzerland,Uganda,23,8,1971,8,5,1972,1,9,2,.88,,-7,.94,,15.90299,,0,0,0,,10.16518,1,-.078607403,,1,,In Force,1,1,9,0
225501,225,501,SWZ,KEN,Switzerland,Kenya,14,11,2006,,,,0,14,2,.86000001,3,8,.60000002,2,17.56728,11.20786,0,0,,.62790698,10.53549,1,.2254343,19.32172,0,,Not in Force,1,0,14,0
225510,225,510,SWZ,TAZ,Switzerland,Tanzania,8,4,1965,6,4,1965,1,4,2,.88,,-7,.81999999,,15.70528,,0,0,0,,9.9763441,1,,,1,,In Force,1,1,4,0
225517,225,517,SWZ,RWA,Switzerland,Rwanda,15,10,1963,15,10,1963,1,0,2,.88,,-5,.33000001,,14.7095,9.0260983,1,0,0,,9.910346,0,,,1,,In Force,0,,,
225522,225,522,SWZ,DJI,Switzerland,Djibouti,4,2,2001,10,11,2001,1,4,2,.88,3,2,0,,14.1029,11.55759,1,0,0,,10.45341,0,.5850594,7.1149478,0,,In Force,1,1,4,0
225530,225,530,SWZ,ETH,Switzerland,Ethiopia,26,6,1998,7,12,1998,1,6,2,.88,4,1,.5,5,17.09342,9.781395,0,0,0,,10.45453,0,3.340147,6.8217978,0,,In Force,1,1,6,0
225541,225,541,SWZ,MZM,Switzerland,Mozambique,29,11,2002,17,2,2004,1,16,2,.88,3,6,.38,3,16.13022,9.4176683,0,0,0,.5714286,10.48959,0,8.2653236,2.915957,0,1,In Force,1,1,16,0
225551,225,551,SWZ,ZAM,Switzerland,Zambia,3,8,1994,7,3,1995,1,9,2,.88,3,6,.92000002,3,15.94405,11.83761,0,0,0,,10.39329,1,1.194931,3.9656661,0,1,In Force,1,1,9,0
225552,225,552,SWZ,ZIM,Switzerland,Zimbabwe,15,8,1996,9,2,2001,1,54,2,.88,4,-6,0,4,15.2895,11.97243,0,0,0,,10.41097,1,.92921722,5.2568951,0,,In Force,1,1,54,0
225560,225,560,SWZ,SAF,Switzerland,South Africa,27,6,1995,29,11,1997,1,29,2,.88,3,9,0,4,19.241791,11.83371,0,0,0,,10.24646,1,.82143778,3.8350911,0,1,In Force,1,1,29,0
225565,225,565,SWZ,NAM,Switzerland,Namibia,1,8,1994,26,4,2000,1,68,2,.88,3,6,.92000002,5,15.62482,11.83761,0,0,0,,10.3042,1,2.631752,3.9656661,0,1,In Force,1,1,68,0
225570,225,570,SWZ,LES,Switzerland,Lesotho,16,6,2004,,,,0,30,2,.88,3,8,.94,,14.69439,11.74765,0,0,,.57692307,10.48002,1,4.1322751,7.1686921,0,1,Not in Force,1,0,30,0
225571,225,571,SWZ,BOT,Switzerland,Botswana,26,6,1998,13,4,2000,1,22,2,.88,4,9,0,4,16.24016,11.31274,0,0,0,,10.24338,1,2.004914,6.8217978,0,,In Force,1,1,22,0
225580,225,580,SWZ,MAG,Switzerland,Madagascar,17,3,1964,31,3,1966,1,24,2,.88,,-1,0,,15.41056,8.9499283,1,0,0,,9.9501543,0,,,1,,In Force,1,1,24,0
225590,225,590,SWZ,MAS,Switzerland,Mauritius,26,11,1998,21,4,2000,1,17,2,.88,4,10,.63,,15.87939,11.31274,0,0,0,,10.2525,0,.29187679,6.8217978,0,,In Force,1,1,17,0
225600,225,600,SWZ,MOR,Switzerland,Morocco,17,12,1985,12,4,1991,1,64,2,.88,3,-8,.86000001,2,17.66066,10.6304,0,0,0,,10.27818,0,.13892999,4.5180898,1,,In Force,1,1,64,0
225615,225,615,SWZ,ALG,Switzerland,Algeria,30,11,2004,15,8,2005,1,21,3,.88,3,2,.51999998,2,19.014391,11.74765,0,0,,.51851851,10.34874,0,1.033262,7.1686921,0,1,In Force,1,1,21,0
225616,225,616,SWZ,TUN,Switzerland,Tunisia,2,12,1961,19,1,1964,1,25,2,.88,,-9,,,15.67062,8.2750826,0,0,0,,9.824892,0,,,1,,In Force,1,1,25,0
225620,225,620,SWZ,LIB,Switzerland,Libya,8,12,2003,28,4,2004,1,5,2,.88,3,-7,.5,4,18.346849,11.93692,0,0,,.5,9.864871,0,.5450542,4.7060642,0,1,In Force,1,1,5,0
225625,225,625,SWZ,SUD,Switzerland,Sudan,17,2,1974,14,12,1974,1,10,2,.88,,-7,.95999998,,16.85894,9.1535902,0,0,0,,10.20556,1,-.0293008,,1,,In Force,1,1,10,0
225630,225,630,SWZ,IRN,Switzerland,Iran,8,3,1998,1,11,2001,1,44,2,.88,4,3,.22,5,19.350031,11.31274,0,0,0,,10.23149,0,.0360079,6.8217978,0,,In Force,1,1,44,0
225640,225,640,SWZ,TUR,Switzerland,Turkey,3,3,1988,21,2,1990,1,23,2,.88,3,7,.2,3,19.209641,7.6126428,0,0,1,,10.17983,0,.2898578,4.446527,1,,In Force,1,1,23,0
225651,225,651,SWZ,EGY,Switzerland,Egypt,7,6,1973,4,6,1974,1,11,2,.88,,-7,.89999998,,17.63118,8.8446074,0,0,0,,10.19949,0,.0071437,,1,,In Force,1,1,11,0
225652,225,652,SWZ,SYR,Switzerland,Syria,9,5,1977,1,7,1978,1,14,2,.88,3,-9,0,,16.861361,10.19754,0,0,0,,10.10713,0,.0012956,,1,,In Force,1,1,14,0
225660,225,660,SWZ,LEB,Switzerland,Lebanon,3,3,2000,20,4,2001,1,13,2,.88,3,,.44,4,17.332809,11.09079,0,0,0,,10.22287,0,5.780478,17.6996,0,,In Force,1,1,13,0
225663,225,663,SWZ,JOR,Switzerland,Jordan,25,2,1976,11,12,1977,1,4,2,.88,3,-10,0,,15.63146,10.35902,0,0,0,,10.04688,0,-.47828239,,1,,In Force,1,1,4,0
225670,225,670,SWZ,SAU,Switzerland,Saudi Arabia,1,4,2006,,,,0,20,2,.86000001,3,-10,.91000003,5,19.492399,11.20786,0,0,,.65079367,9.8406153,1,4.8060961,19.32172,0,,Not in Force,1,0,20,0
225690,225,690,SWZ,KUW,Switzerland,Kuwait,31,10,1998,17,12,2000,1,26,2,.88,4,-7,.64999998,5,18.1444,11.31274,0,0,0,,8.7292948,0,3.2501149,-7.1953321,0,,In Force,1,1,26,0
225694,225,694,SWZ,QAT,Switzerland,Qatar,12,11,2001,15,7,2004,1,32,2,.88,3,-10,.38,6,17.678711,11.55759,0,0,0,,10.48257,0,3.4394369,.098146498,0,,In Force,1,1,32,0
225696,225,696,SWZ,UAE,Switzerland,United Arab Emirates,3,11,1998,16,8,1999,1,9,2,.88,4,-8,.67000002,4,18.528971,11.31274,0,0,0,,8.1037474,1,3.2501149,.2624718,0,,In Force,1,1,9,0
225698,225,698,SWZ,OMA,Switzerland,Oman,17,8,2004,18,1,2005,1,5,2,.88,3,-8,.89999998,5,17.718309,11.74765,0,0,,.51851851,9.8050575,0,.45008829,7.1686921,0,,In Force,1,1,5,0
225703,225,703,SWZ,KYR,Switzerland,Kyrgyzstan,21,9,1999,17,4,2003,1,51,2,.88,4,-3,.75,,15.864,11.16465,0,0,1,,10.42602,0,3.5541661,12.28432,0,,In Force,1,1,51,0
225704,225,704,SWZ,UZB,Switzerland,Uzbekistan,16,4,1993,5,11,1993,1,7,2,.88,3,-9,.17,,17.31123,11.95584,0,0,1,,10.36751,0,.3489683,3.566117,0,1,In Force,1,1,7,0
225705,225,705,SWZ,KZK,Switzerland,Kazakhstan,12,5,1994,13,5,1998,1,48,2,.88,3,-3,0,,18.288019,10.68178,0,0,1,,10.24612,0,3.0061049,3.9656661,0,,In Force,1,1,48,0
225710,225,710,SWZ,CHN,Switzerland,China,12,11,1986,18,3,1987,1,4,2,.88,3,-7,.5,3,19.161591,10.65292,0,0,0,,10.33292,0,.73722529,1.392377,1,1,In Force,1,1,4,0
225712,225,712,SWZ,MON,Switzerland,Mongolia,29,1,1997,9,9,1999,1,32,2,.88,4,10,.83999997,4,15.41581,11.68645,0,0,0,,10.37996,0,2.060853,6.6440439,0,,In Force,1,1,32,0
225731,225,731,SWZ,PRK,Switzerland,North Korea,14,12,1998,15,11,2000,1,23,2,.88,4,-9,.33000001,5,19.350031,,0,0,0,,,0,.2984381,6.8217978,0,1,In Force,1,1,23,0
225732,225,732,SWZ,ROK,Switzerland,South Korea,15,12,1971,1,9,1971,1,0,2,.88,,3,.94,,18.477079,8.5866985,0,0,0,,10.06777,0,.4089683,,1,,In Force,0,,,
225750,225,750,SWZ,IND,Switzerland,India,4,4,1997,16,2,2000,1,34,2,.88,18,9,.36000001,4,19.31975,11.39817,0,0,0,,10.3899,1,.85642117,6.6440439,0,1,In Force,1,1,34,0
225770,225,770,SWZ,PAK,Switzerland,Pakistan,11,7,1995,6,5,1996,1,10,2,.88,8,8,0,3,19.29711,11.74352,0,0,0,,10.35816,1,.60410619,3.8350911,0,1,In Force,1,1,10,0
225771,225,771,SWZ,BNG,Switzerland,Bangladesh,14,10,2000,3,9,2001,1,11,2,.88,4,6,.85000002,2,18.68681,4.571599,0,0,0,,10.4752,1,1.272719,17.6996,0,,In Force,1,1,11,0
225780,225,780,SWZ,SRI,Switzerland,Sri Lanka,23,9,1981,12,2,1982,1,5,2,.88,3,6,.80000001,,16.95503,7.4230928,0,0,0,,10.25509,1,1.1054879,,1,,In Force,1,1,5,0
225800,225,800,SWZ,THI,Switzerland,Thailand,17,11,1997,21,7,1999,1,20,2,.88,6,9,.86000001,5,19.31975,10.07277,0,0,0,,10.23935,1,2.57271,6.6440439,0,,In Force,1,1,20,0
225811,225,811,SWZ,CAM,Switzerland,Cambodia,12,10,1996,29,3,2000,1,41,2,.88,4,1,0,,16.11463,5.7498431,0,0,0,,10.39636,0,8.3753519,5.2568951,0,,In Force,1,1,41,0
225812,225,812,SWZ,LAO,Switzerland,Laos,4,12,1996,4,12,1996,1,0,2,.88,4,-7,.86000001,,15.73704,,0,0,0,,10.38057,0,7.1600008,5.2568951,0,1,In Force,0,,,
225816,225,816,SWZ,DRV,Switzerland,Vietnam,3,7,1992,2,12,1992,1,5,2,.88,3,-7,.2,3,18.13129,5.7639418,0,0,0,,10.39213,0,4.8033438,2.3976331,0,1,In Force,1,1,5,0
225820,225,820,SWZ,MAL,Switzerland,Malaysia,1,3,1978,9,6,1978,1,3,2,.88,3,4,.95999998,,17.704969,10.1209,0,0,0,,10.08179,1,2.9434471,,1,,In Force,1,1,3,0
225830,225,830,SWZ,SIN,Switzerland,Singapore,6,3,1978,3,5,1978,1,2,2,.88,3,-2,.95999998,,17.181219,10.1209,0,0,0,,9.6370764,1,3.824944,,1,,In Force,1,1,2,0
225840,225,840,SWZ,PHI,Switzerland,Philippines,31,3,1997,23,4,1999,1,25,3,.88,4,8,.81999999,4,18.948179,11.68645,0,0,1,,10.37132,0,1.516801,6.6440439,0,,In Force,1,1,25,0
225850,225,850,SWZ,INS,Switzerland,Indonesia,6,6,1974,9,4,1976,1,22,2,.88,,-7,.80000001,,18.890051,7.1558919,0,0,0,,10.21073,0,.64241773,,1,,In Force,1,1,22,0
230040,230,40,SPN,CUB,Spain,Cuba,27,5,1994,9,7,1995,1,13,2,.75,5,-7,0,5,18.182329,18.23501,1,1,0,.58139533,9.4992924,0,.045521699,.79800642,0,1,In Force,1,1,13,0
230042,230,42,SPN,DOM,Spain,Dominican Republic,16,3,1995,7,10,1996,1,19,2,.75,5,5,.61000001,4,17.596689,4.5772858,1,1,0,,9.6525431,0,2.669539,.78253591,0,1,In Force,1,1,19,0
230051,230,51,SPN,JAM,Spain,Jamaica,13,3,2002,25,11,2002,1,8,2,.75,3,9,.69,1,16.96413,14.33903,0,0,0,.5925926,9.7905731,1,4.9478631,4.7669778,0,1,In Force,1,1,8,0
230052,230,52,SPN,TRI,Spain,Trinidad and Tobago,3,7,1999,17,9,2004,1,62,2,.86000001,4,10,.91000003,4,16.595289,10.87632,0,0,0,.65957439,9.3858709,1,9.4478359,7.1832032,0,1,In Force,1,1,62,0
230070,230,70,SPN,MEX,Spain,Mexico,10,10,1995,4,4,1996,1,18,2,.75,5,4,.61000001,3,20.50075,10.43131,1,1,0,.82758617,9.4420147,0,3.0364821,.78253591,0,1,In Force,1,1,18,0
230090,230,90,SPN,GUA,Spain,Guatemala,9,12,2002,21,5,2004,1,18,2,.75,3,8,.43000001,2,17.964359,9.6639032,1,1,0,.75510198,9.9571466,0,.98813331,4.7669778,0,0,In Force,1,1,18,0
230091,230,91,SPN,HON,Spain,Honduras,18,3,1994,23,5,1996,1,26,2,.75,5,6,0,3,16.56027,9.6320419,1,1,0,.73076922,9.7846012,0,1.013485,.79800642,0,1,In Force,1,1,26,0
230092,230,92,SPN,SAL,Spain,El Salvador,14,2,1995,20,2,1996,1,12,2,.75,5,7,.33000001,3,17.14138,8.641839,1,1,0,.8490566,9.6895828,0,.40040001,.78253591,0,1,In Force,1,1,12,0
230093,230,93,SPN,NIC,Spain,Nicaragua,16,3,1994,28,3,1995,1,12,2,.75,5,6,.56999999,3,15.85592,10.14127,1,1,0,.75999999,9.8438969,0,1.221314,.79800642,0,1,In Force,1,1,12,0
230094,230,94,SPN,COS,Spain,Costa Rica,8,7,1997,17,7,1999,1,24,2,.75,4,10,.2,4,17.211491,13.07253,1,1,0,.5,9.5685701,0,3.1716919,2.519232,0,1,In Force,1,1,24,0
230095,230,95,SPN,PAN,Spain,Panama,10,11,1997,31,7,1998,1,8,2,.75,4,9,.67000002,3,16.698721,12.50298,1,1,0,.65217388,9.6820364,0,12.88381,2.519232,0,0,In Force,1,1,8,0
230100,230,100,SPN,COL,Spain,Colombia,31,3,2005,22,9,2007,1,32,2,.73000002,4,7,.2,1,19.43734,17.4526,1,1,,.63999999,9.9674845,0,7.0908461,3.7011681,0,1,In Force,1,1,32,0
230101,230,101,SPN,VEN,Spain,Venezuela,2,11,1995,10,9,1997,1,22,2,.75,5,8,.13,4,19.03838,7.1229458,1,1,0,.82456142,9.4429665,0,1.315286,.78253591,0,1,Not in Force,1,1,22,0
230130,230,130,SPN,ECU,Spain,Ecuador,26,6,1996,18,7,1997,1,12,2,.75,5,9,.54000002,4,17.880569,12.06978,1,1,0,.6785714,9.7208281,0,2.349334,1.137169,0,1,In Force,1,1,12,0
230135,230,135,SPN,PER,Spain,Peru,17,11,1994,17,2,1996,1,15,2,.75,5,1,.33000001,3,18.475809,8.7971439,1,1,0,.70833331,9.6893549,0,7.3239732,.79800642,0,1,In Force,1,1,15,0
230145,230,145,SPN,BOL,Spain,Bolivia,24,4,1990,12,5,1992,1,25,2,.75,6,9,0,1,16.7286,11.75548,1,1,0,.8214286,9.7505922,0,1.376453,.64280093,0,1,In Force,1,1,25,0
230150,230,150,SPN,PAR,Spain,Paraguay,11,10,1993,22,11,1996,1,37,2,.74000001,4,7,.5,4,16.648781,6.687192,1,1,0,.82352942,9.7121735,0,1.145825,.62236911,0,1,In Force,1,1,37,0
230155,230,155,SPN,CHL,Spain,Chile,2,10,1991,28,3,1994,1,29,2,.75,4,8,0,4,18.194759,9.9631147,1,1,0,.82608688,9.5788136,0,2.1470571,.73758513,0,1,In Force,1,1,29,0
230160,230,160,SPN,ARG,Spain,Argentina,3,10,1991,28,9,1992,1,11,2,.75,5,7,0,3,19.32761,3.3217609,1,1,0,1,9.4755688,0,1.285652,.73758513,0,1,In Force,1,1,11,0
230165,230,165,SPN,URU,Spain,Uruguay,7,4,1992,6,5,1994,1,25,2,.75,4,10,.25,3,16.906561,11.58408,1,1,0,.87234038,9.5097103,0,.079451501,.40054771,0,1,In Force,1,1,25,0
230290,230,290,SPN,POL,Spain,Poland,30,7,1992,1,5,1993,1,10,2,.75,5,8,.25,6,19.498211,18.280029,0,0,1,1,9.4654818,0,.73435462,.40054771,0,1,In Force,1,1,10,0
230310,230,310,SPN,HUN,Spain,Hungary,9,11,1989,1,8,1992,1,33,2,.74000001,4,4,.63999999,4,18.663151,10.31592,0,0,1,.91549301,8.8558741,0,,.36585411,1,1,In Force,1,1,33,0
230315,230,315,SPN,CZE,Spain,Czechoslovakia,12,12,1990,28,11,1991,1,11,2,.75,4,8,0,4,18.94726,,0,0,1,1,8.1725655,0,.3086113,.64280093,0,1,In Force,1,1,11,0
